"","EcoRegion.Domain","Terrain","Incident.Type","Age","Group.Type","Weight..Kg.","Height..Cm.","Build","Physical.Fitness","Mental.Fitness","Experience","Equipment","Personality","Total.hours","Temp.H","Temp.L","Snow","Rain","Subject.Status","Super.Category","Group"
"1","TEMPERATE","WATER","WATER",19,"MM",NA,NA,NA,NA,NA,NA,"FAIR",NA,NA,14,6,"NO","NO","DOA","WATER","YES"
"2","TEMPERATE","MOUNTAINOUS","SEARCH",32,"M",NA,NA,"MEDIUM","GOOD",NA,"GOOD","EXCELLENT",NA,47.04,10,-4,"YES","YES","ALIVE","OUTDOOR","NO"
"3","TEMPERATE","HILLY","SEARCH",NA,NA,NA,NA,NA,NA,NA,NA,"EXCELLENT",NA,13.92,12,4,"NO","NO","ALIVE","OUTDOOR","YES"
"4","DRY","HILLY","SEARCH",58,"MM",NA,NA,NA,NA,NA,"GOOD","EXCELLENT","CONFIDENT",NA,16,4,NA,NA,"ALIVE","OUTDOOR","YES"
"5","DRY","FLAT","SEARCH",30,"F",NA,NA,"MEDIUM","FAIR","MODERATE","FAIR","POOR","UNSURE",20.64,20,6,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"6","TEMPERATE","FLAT","SEARCH",64,"F",NA,162,"OVERWEIGHT","POOR","MILD","FAIR","POOR","UNSURE",NA,23,9,NA,"YES","ALIVE","OUTDOOR","NO"
"7",NA,"FLAT","SEARCH",35,"MM",NA,NA,NA,NA,NA,"GOOD","GOOD","CONFIDENT",NA,20,10,NA,"YES","ALIVE","OUTDOOR","YES"
"8","DRY","FLAT","SEARCH",7,"F",20,150,"THIN","FAIR",NA,"FAIR","POOR","WITHDRAWN",2.16,NA,20,NA,NA,"ALIVE","CHILD","NO"
"9","DRY",NA,"SEARCH",9,"F",30,NA,"THIN",NA,NA,NA,"POOR",NA,2.88,NA,NA,NA,NA,"ALIVE","CHILD","NO"
"10","DRY","FLAT","SEARCH",14,"F",NA,NA,"MEDIUM","FAIR",NA,"FAIR","POOR","WITHDRAWN",NA,NA,20,NA,NA,"ALIVE","OUTDOOR","NO"
"11","DRY","FLAT","SEARCH",13,"M",45,148,"THIN","FAIR",NA,"FAIR","FAIR",NA,NA,15,12,"NO","NO","ALIVE","OUTDOOR","NO"
"12","DRY","MOUNTAINOUS","SEARCH",44,"M",95,188,"MEDIUM",NA,NA,"FAIR","POOR",NA,14.64,25,10,"NO","NO","ALIVE","OUTDOOR","NO"
"13","DRY","FLAT","SEARCH",25,"F",NA,NA,"MEDIUM","POOR",NA,"FAIR","POOR","WITHDRAWN",NA,10,5,NA,NA,"ALIVE","OUTDOOR","NO"
"14",NA,"MOUNTAINOUS","SEARCH",40,"F",NA,NA,"MEDIUM","POOR","MILD","GOOD","POOR",NA,2.16,29,25,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
"15","DRY",NA,"WATER",71,"M",60,178,"THIN","POOR","MODERATE","POOR","POOR",NA,NA,NA,15,"NO","NO","DOA","OTHER MENTAL ISSUES","NO"
"16","DRY","HILLY","SEARCH",49,"M",70,165,"THIN","POOR","MILD","GOOD","FAIR","UNSURE",NA,5,NA,"NO","NO","ALIVE","OTHER MENTAL ISSUES","NO"
"17","DRY","FLAT","SEARCH",NA,"MF",NA,NA,"MEDIUM","POOR",NA,"GOOD","POOR","CONFIDENT",NA,10,5,"NO","NO","ALIVE","OUTDOOR","YES"
"18","TEMPERATE",NA,"SEARCH",6,"M",NA,NA,"MEDIUM","POOR",NA,"POOR","POOR","UNSURE",NA,NA,NA,NA,NA,"ALIVE","CHILD","NO"
"19","DRY","MOUNTAINOUS","SEARCH",2,"M",20,NA,"MEDIUM","FAIR",NA,"FAIR","POOR",NA,NA,14,9,"NO","NO","ALIVE","CHILD","NO"
"20","DRY","HILLY","SEARCH",NA,"MM",NA,NA,NA,"GOOD",NA,"FAIR","POOR",NA,NA,6,4,NA,NA,"ALIVE","VEHICLE","YES"
"21","TEMPERATE","MOUNTAINOUS","SEARCH",53,"F",NA,NA,"MEDIUM","FAIR","MODERATE","GOOD","POOR","WITHDRAWN",NA,NA,NA,NA,NA,"ALIVE","OTHER MENTAL ISSUES","NO"
